206.196.184.94 - - [09/Apr/2016:21:08:55 +0000] "GET /clues/random HTTP/1.1" 200 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:08:57 +0000] "GET /clues/random HTTP/1.1" 200 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:08:58 +0000] "GET /clues/random HTTP/1.1" 200 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:09:03 +0000] "GET /clues/random HTTP/1.1" 200 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:09:11 +0000] "GET /clues/random HTTP/1.1" 200 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:09:12 +0000] "GET /clues/random HTTP/1.1" 200 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.89 - - [09/Apr/2016:21:16:52 +0000] "GET /clues/random HTTP/1.1" 200 - "http://54.165.196.151:8000/app/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36"
206.196.184.94 - - [09/Apr/2016:21:19:34 +0000] "GET / HTTP/1.1" 404 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:19:59 +0000] "GET / HTTP/1.1" 404 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:22:26 +0000] "GET /static HTTP/1.1" 302 0 - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:22:26 +0000] "GET /static/ HTTP/1.1" 404 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:28:11 +0000] "GET / HTTP/1.1" 200 - - "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:28:11 +0000] "GET /bower_components/bootstrap/dist/css/bootstrap.css HTTP/1.1" 200 - "http://54.165.196.151:8080/" "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:28:11 +0000] "GET /bower_components/angular-resource/angular-resource.js HTTP/1.1" 200 - "http://54.165.196.151:8080/" "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
206.196.184.94 - - [09/Apr/2016:21:28:11 +0000] "GET /js/controllers.js HTTP/1.1" 200 - "http://54.165.196.151:8080/" "Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0"
